Time,Stock,Action,Qty,Price,P/L,Note
11:51:21,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:21,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:26,대한전선,SELL(TP),1,26660.0,1760.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:26,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:26,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:31,대한전선,SELL(TP),1,26660.0,1760.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:31,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:31,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:37,대한전선,SELL(TP),1,26660.0,1760.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:37,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:37,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:41,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:41,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:44,SKC,BUY,1,133720.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:44,LS ELECTRIC,BUY,1,484180.0,0.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
11:51:49,대한전선,SELL(TP),1,26660.0,1760.0,"{'rt_cd': '7', 'msg_cd': 'APAC0289', 'msg1': '비밀번호 5회 오류[인터넷뱅킹-계좌비밀번호 오류해제(재등록) 요망]'}"
